Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW12,19,UNID,Ulna,0.6,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,UNID,Humerus,0.4,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,UNID,Canine,0.5,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,UNID,Scapula,0.2,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,UNID,Metapodial,0.5,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,Varanus sp.,Vertebra,5,2,NA,N,N,CC,,24-Jul-12
A,SW12,19,Rodentia,Mandible,0.6,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,Fish,Mandible,0,2,NA,N,N,CC,,24-Jul-12
A,SW12,19,Carnivora,Mandible,1.1,1,NA,N,N,CC,,24-Jul-12
A,SW12,19,UNID,Vertebra,1.9,1,NA,B,N,CC,,24-Jul-12
A,SW12,19,UNID,Unknown,5.8,6,NA,B,N,CC,,24-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW13,19,Prebytis phayarei,Mandible,1.6,1,NA,N,N,HVV,"LRM1,2 and P4",25-Jul-12
A,SW13,19,UNID,Canine,1.2,1,NA,N,N,HVV,,25-Jul-12
A,SW13,19,UNID,Mandible,0.6,1,NA,N,N,HVV,,25-Jul-12
A,SW13,19,Rodentia,Mandible,1,1,NA,N,N,HVV,LLI1,25-Jul-12
A,SW13,19,UNID,Scapula,0.6,2,NA,N,N,HVV,,25-Jul-12
A,SW13,19,UNID,Femur,0.3,1,NA,N,N,HVV,,25-Jul-12
A,SW13,19,Tragulidae sp.,Tibia,0.6,1,NA,N,N,HVV,,25-Jul-12
