Raw measurement data for the geoarchaeological analysis of samples from KTC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also at https://docs.google.com/spreadsheets/d/1_a20envyJUBA69NfSyLu0JniVUxnyKzAePUwQFrkS64/edit?pref=2&pli=1#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,Replicate 1 (you need to do this for all of your samples),,,,,,,Replicate 2 (only needed for one of your samples),,,,,,,Replicate 3 (only needed for one of your samples),,,,,,,,,,,,,,,,,,,
Sample ID,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,mean pH,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,,,,,Sample ID,pH,EC,SOM,CaCO3,Xlf,%fd,,
Sample #,Mass (container),Mass (sample + container),Mass,1,2,3,Mean,1,2,3,Mean,MS (XLF),MX (XHF),% Frequency Dependence,,,,,,,,,,,,,,,,,,,,
BN1-5-1,3.1101,12.5228,9.4127,638,639,639,638.67,625,622,624,623.67,678.52,662.58,2.35,,,,,,,,,,,,,,,,,,,,
BN1-5-2,3.1002,15.4523,12.3521,1172,1170,1172,1171.33,1147,1147,1150,1148,948.29,929.4,1.99,,,,,,,,,,,,,,,,,,,,
BN1-5-3,3.1175,14.5887,11.4712,947,941,942,943.33,919,918,920,919,822.35,801.14,2.58,,,,,,,,,,,,,,,,,,,,
BN1-5-4,3.065,12.822,9.757,572,573,573,572.67,553,554,556,554.33,586.93,568.14,3.2,,,,,,,,,,,,,,,,,,,,
BN1-5-5,3.0278,16.9711,13.9433,552,551,552,551.67,529,531,534,531.33,395.65,381.07,3.69,,,,,,,,,,,,,,,,,,,,
BN1-5-6,3.1374,12.1337,8.9963,342,343,343,342.67,329,331,334,331.33,380.9,368.3,3.31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic carbon and carbonates,Empty crucible mass. Please type your data in the cells below like this:  =(mass1+mass2)/2,,,Mass of sediment + crucible after drying at 105 deg,,,Mass of sediment + crucible after heating at 430 deg,,,Mass of sediment + crucible after heating at 1000 deg,,,mean percent sample mass organic carbon,standard error of percent sample mass organic carbon*,mean percent sample mass carbonate,standard error of percent sample mass carbonate*,,,,,,,,,,,,,,,,,,
Sample ID,crucible 1,crucible 2,crucible 3,crucible 1,crucible 2,crucible 3,crucible 1,crucible 2,crucible 3,crucible 1,crucible 2,crucible 3,,,,,,,,,,,,,,,,,,,,,,
BN1-5-1,9.4698,8.1895,8.4848,14.19985,12.96175,13.2457,14.1237,12.88515,13.16555,14.1025,12.86575,13.14655,1.632873408,0.043938045,0.417858545,0.026472527,,,,,,,,,,,,,,,,,,
BN1-5-2,8.384,8.5862,8.3847,13.37005,13.57885,13.4017,13.3116,13.5199,13.3405,13.1603,13.3755,13.1911,1.191008089,0.02538312,2.968184213,0.071599483,,,,,,,,,,,,,,,,,,
BN1-5-3,9.2738,8.5621,9.224,14.23665,13.53295,14.2009,14.1535,13.44915,14.1122,14.13665,13.4317,14.0925,1.714552064,0.058885308,0.362158464,0.029745068,,,,,,,,,,,,,,,,,,
BN1-5-4,8.8369,8.64665,8.36175,13.5688,13.37735,13.037,13.4491,13.25785,12.9201,13.42165,13.22995,12.88935,2.518770534,0.015946613,0.609003491,0.042298418,,,,,,,,,,,,,,,,,,
BN1-5-5,7.7014,8.4946,8.0377,12.3004,12.94205,12.47445,12.2526,12.89585,12.4273,12.25415,12.89745,12.42905,1.046858313,0.013650195,-0.036341521,0.002890808,,,,,,,,,,,,,,,,,,
BN1-5-6,8.008,8.64945,9.60505,12.7968,13.4387,13.4618,12.678,13.31945,13.36585,12.6681,13.30945,13.35665,2.486080924,0.004799316,0.216601661,0.017798694,,,,,,,,,,,,,,,,,,
Mineral names identified by XRD,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-1,Albite,Labradorite,,,,,,,,,,,"*Note: I'm not sure if I calculated this right, particularly since we have such a low sample size. --DC",,,,,,,,,,,,,,,,,,,,,
BN1-5-2,Albite,Cristobalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-3*,Anorthite,Muscovite,Cristobalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-4,Albite,Labradorite,Curprite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-5,Albite,Labradorite,Anorthite,Cristobalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-6*,Albite,Labradorite,Anorthite,Calcite,Kutnohorite,Cristobalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral % composition (XRD),Albite,Labradorite,Cristobalite,Anorthite,Muscovite,Calcite,Kutnohorite,Curprite,,,,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-1,58.4,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
