Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW12,19,F. Potamididae B,Gastropod,0.3,1,20.78,N,N,CC,100-0234/0233/0232/0231,18-Jul-12
A,SW12,19,F. Potamididae C,Gastropod,0.3,1,21.85,N,N,CC,100-0234/0233/0232/0231,18-Jul-12
A,SW12,19,F. Potamididae D,Gastropod,0.5,1,22.53,N,N,CC,100-0234/0233/0232/0231,18-Jul-12
A,SW12,19,F. Potamididae E,Gastropod,0.3,1,25.25,N,N,CC,100-0234/0233/0232/0231,18-Jul-12
A,SW12,19,F. Potamididae,Gastropod,1022,1390,NA,N,N,CC,,18-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW13,19,F. Potamididae,Gastropod,1586.1,1854,NA,N,N,CC,,24-Jul-12
A,SW13,19,F. Amplluariidae Pomacea sp. ,Gastropod,8.1,4,NA,N,N,CC,,24-Jul-12
A,SW13,19,F. Potamididae Telescopium telescopium,Gastropod,1.2,2,NA,N,N,CC,,24-Jul-12
A,SW13,19,F. Cyclophoridae,Gastropod,2.6,3,NA,N,N,CC,,24-Jul-12
A,SW13,19,F. Amblemididae ,Bivalve,145.7,125,NA,N,N,CC,,24-Jul-12
A,SW13,19,Unknown,Bivalve,127.3,345,NA,N,N,CC,,24-Jul-12
A,SW13,19,Unknown,Gastropod,98.6,199,NA,N,N,CC,,24-Jul-12
A,SW13,19,F. Potamididae,Gastropod,0,1,18.49,N,N,CC,100-0301/0303,24-Jul-12
A,SW13,19,F. Potamididae,Gastropod,0.4,1,23.44,N,N,CC,100-0306/0305,24-Jul-12
A,SW13,19,F. Potamididae,Gastropod,0.8,1,29.88,N,N,CC,100-0307/0308/0309 Killhole,24-Jul-12
A,SW13,19,F. Potamididae,Gastropod,0.7,1,30.96,N,N,CC,100-0331/0330,24-Jul-12
A,SW13,19,F. Amblemididae ,Bivalve,1.1,1,28.4,N,N,CC,100-0333/0332,24-Jul-12
A,SW13,19,F. Amblemididae ,Bivalve,1,1,25.71,N,N,CC,100-0326/0327,24-Jul-12
A,SW13,19,F. Amblemididae ,Bivalve,1.9,1,32.21,N,N,CC,100-0321/0322,24-Jul-12
